"Позиция ";"Наименование и техническая характеристика";"Тип, марка,

обозначение документа,

опросного листа";"Код оборудования,

изделия,

материала";"Завод-изготовитель";" Единица

измерения";"Количе-

ство";"Масса единицы, кг";"Примечание"
"35";"Тройниковое ответвление 89х5,0/45х5,0-20 ГОСТ 10704-91-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"2,00";"18,00"; 
"36";"Тройниковое ответвление 57х5,0/45х5,0-20 ГОСТ 10704-91-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"1,00";"9,10"; 
"37";"Тройниковое ответвление 32х4,0/32х4,0-20 ГОСТ 10704-91-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"1,00";"6,70"; 
"38";"Элемент трубопровода с кабелем вывода 325х8.0-20 ГОСТ 10704-91 -ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"4,00";"63,60"; 
"39";"Заглушка 32х3,0";"ГОСТ 17379-2001"; ; ;"шт";"1,00";"0,56"; 
"40";"Фитинг обжимной под сварку Дн 200";"Изопрофлекс 95 А"; ; ;"шт";"2,00";"18,70"; 
"41";"Фитинг обжимной под сварку Дн 110";"Изопрофлекс 95 А"; ; ;"шт";"2,00";"5,68"; 
"42";"Термоусаживаемая муфта КЗС(Т)-325х450";"ТУ 2246-002-86666777-2008"; ; ;"шт";"8,00"; ; 
"43";"Термоусаживаемая муфта КЗС(Т)-203х315";"ТУ 2246-002-86666777-2008"; ; ;"шт";"2,00"; ; 
"44";"Термоусаживаемая муфта КЗС(Т)-110х160";"ТУ 2246-002-86666777-2008"; ; ;"шт";"2,00"; ; 
"45";"Термоусаживаемая муфта КЗС(Т)-89х160";"ТУ 2246-002-86666777-2008"; ; ;"шт";"10,00"; ; 
"46";"Термоусаживаемая муфта КЗС(Т)-57х125";"ТУ 2246-002-86666777-2008"; ; ;"шт";"6,00"; ; 
"47";"Термоусаживаемая муфта КЗС(Т)-45х125";"ТУ 2246-002-86666777-2008"; ; ;"шт";"3,00"; ; 
"48";"Заглушка изоляции 45/125";"ТУ 2246-002-86666777-2008"; ; ;"шт";"3,00";" "; 
 ; ; ; ; ; ; ; ; 
 ;"Тепловая камера 8013а"; ; ; ; ; ; ; 
"49";"Кран шаровой с воздушником 57х5,0/125 ППУ-ПЭ Н=554";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"2,00";"18,50"; 
